            6. Чисельність наявного населення в розрізі регіонів                                            ,,,,,,,
"                              районів, міст, селищ міського типу1",,,,,,,
,,,,,,,
,,,        (на 1 січня; осіб),,,,
,2013,2014,2015,,,,
,,,,,,,
    Міське населення,"1,000,157","995,512","992,179",,,,
       м. Дніпропетровськ,"997,754","993,094","989,769",,,,
        смт Авіаторське,"2,403","2,418","2,410",,,,
  м. Вільногірськ,"23,764","23,766","23,661",,,,
,,,,,,,
  Дніпродзержинськ (міськрада),"248,795","248,439","247,664",,,,
    Міське населення,"248,487","248,140","247,367",,,,
        м. Дніпродзержинськ,"241,880","241,475","240,682",,,,
        смт Карнаухівка,"6,607","6,665","6,685",,,,
    Сільське населення,308,299,297,,,,
  Жовті Води (міськрада),"48,268","48,045","47,522",,,,
    Міське населення,"47,509","47,284","46,763",,,,
        м. Жовті Води,"47,509","47,284","46,763",,,,
    Сільське населення,759,761,759,,,,
  Кривий Ріг (міськрада),"659,241","654,893","650,475",,,,
    Міське населення,"656,478","652,137","647,727",,,,
        м. Кривий Ріг,"656,478","652,137","647,727",,,,
    Сільське населення,"2,763","2,756","2,748",,,,
  Марганець (міськрада),"49,515","49,345","49,153",,,,
    Міське населення,"48,892","48,717","48,517",,,,
        м. Марганець,"48,546","48,345","48,144",,,,
        смт Мар'ївка,346,372,373,,,,
    Сільське населення,623,628,636,,,,
  м. Нікополь,"118,720","117,857","116,834",,,,
  м. Новомосковськ,"70,787","71,299","71,488",,,,
  Орджонікідзе (міськрада),"43,121","42,887","42,594",,,,
    Міське населення,"43,121","42,887","42,594",,,,
        м. Орджонікідзе,"41,374","41,152","40,857",,,,
        смт Гірницьке,365,360,359,,,,
        смт Чортомлик,"1,382","1,375","1,378",,,,
  м. Павлоград,"110,070","109,739","109,305",,,,
  м. Першотравенськ,"29,019","28,994","28,973",,,,
  м. Синельникове,"31,568","31,576","31,528",,,,
  Тернівка (міськрада),"28,937","28,870","28,880",,,,
    Міське населення,"28,920","28,853","28,863",,,,
        м. Тернівка,"28,920","28,853","28,863",,,,
    Сільське населення,17,17,17,,,,
  Апостолівський район,"57,064","56,803","56,253",,,,
    Міське населення,"28,379","28,255","28,044",,,,
        м. Апостолове,"14,432","14,348","14,252",,,,
        м. Зеленодольськ,"13,947","13,907","13,792",,,,
    Сільське населення,"28,685","28,548","28,209",,,,
  Васильківський район,"33,482","33,220","32,987",,,,
    Міське населення,"17,119","17,118","17,053",,,,
        смт Васильківка ,"11,916","11,958","11,944",,,,
        смт Письменне,"1,268","1,248","1,224",,,,
        смт Чаплине,"3,935","3,912","3,885",,,,
    Сільське населення,"16,363","16,102","15,934",,,,
  Верхньодніпровський район,"53,968","53,724","53,432",,,,
    Міське населення,"36,787","36,661","36,522",,,,
        м. Верхньодніпровськ,"16,885","16,760","16,619",,,,
        м. Верхівцеве,"10,033","10,062","10,089",,,,
        смт Дніпровське,"5,682","5,677","5,659",,,,
        смт Новомиколаївка,"4,187","4,162","4,155",,,,
    Сільське населення,"17,181","17,063","16,910",,,,
  Дніпропетровський район,"84,308","84,614","84,757",,,,
    Міське населення,"41,589","41,762","41,883",,,,
        м. Підгородне,"19,498","19,530","19,601",,,,
        смт Кіровське,"9,290","9,285","9,273",,,,
        смт Ювілейне,"12,801","12,947","13,009",,,,
    Сільське населення,"42,719","42,852","42,874",,,,
  Криворізький район,"44,971","44,932","44,875",,,,
    Міське населення,"5,259","5,246","5,246",,,,
        смт Радушне,"3,809","3,813","3,817",,,,
        смт Христофорівка,"1,450","1,433","1,429",,,,
    Сільське населення,"39,712","39,686","39,629",,,,
  Криничанський район,"36,041","35,727","35,468",,,,
    Міське населення,"11,250","11,199","11,150",,,,
        смт Кринички,"4,302","4,268","4,252",,,,
        смт Аули,"4,177","4,196","4,187",,,,
        смт Щорськ,"2,771","2,735","2,711",,,,
    Сільське населення,"24,791","24,528","24,318",,,,
  Магдалинівський район,"34,719","34,314","34,070",,,,
    Міське населення,"6,506","6,449","6,386",,,,
        смт Магдалинівка,"6,506","6,449","6,386",,,,
    Сільське населення,"28,213","27,865","27,684",,,,
  Межівський район,"24,726","24,405","24,171",,,,
    Міське населення,"8,683","8,650","8,668",,,,
        смт Межова,"7,539","7,520","7,563",,,,
        смт Демурине,"1,144","1,130","1,105",,,,
    Сільське населення,"16,043","15,755","15,503",,,,
  Нікопольський район,"42,189","41,703","41,176",,,,
    Міське населення,"6,661","6,600","6,556",,,,
        смт Червоногригорівка,"6,661","6,600","6,556",,,,
    Сільське населення,"35,528","35,103","34,620",,,,
  Новомосковський район,"74,567","74,722","74,597",,,,
    Міське населення,"30,415","30,502","30,602",,,,
        м. Перещепине,"10,178","10,138","10,151",,,,
        смт Гвардійське,"6,058","6,202","6,227",,,,
        смт Губиниха,"5,656","5,637","5,636",,,,
        смт Меліоративне,"4,284","4,267","4,237",,,,
        смт Черкаське,"4,239","4,258","4,351",,,,
    Сільське населення,"44,152","44,220","43,995",,,,
,,,,,,,
  Павлоградський район,"28,459","28,188","28,026",,,,
    Сільське населення,"28,459","28,188","28,026",,,,
  Петриківський район,"25,715","25,758","25,656",,,,
    Міське населення,"8,673","8,700","8,644",,,,
        смт Петриківка,"4,741","4,743","4,753",,,,
        смт Курилівка,"2,641","2,646","2,616",,,,
        смт Миколаївка,"1,291","1,281","1,275",,,,
    Сільське населення,"17,042","17,058","17,012",,,,
  Петропавлівський район,"27,892","27,398","26,973",,,,
    Міське населення,"7,881","7,763","7,647",,,,
        смт Петропавлівка,"7,553","7,462","7,378",,,,
        смт Брагинівка,328,301,269,,,,
    Сільське населення,"20,011","19,635","19,326",,,,
  Покровський район,"35,967","35,625","35,256",,,,
    Міське населення,"15,366","15,273","15,163",,,,
        смт Покровське,"10,264","10,187","10,132",,,,
        смт Просяна,"5,102","5,086","5,031",,,,
    Сільське населення,"20,601","20,352","20,093",,,,
  П'ятихатський район,"45,906","45,456","45,196",,,,
    Міське населення,"23,409","23,309","23,240",,,,
     м. П'ятихатки,"18,944","18,886","18,868",,,,
     смт Вишневе,"2,389","2,378","2,350",,,,
     смт Лихівка,"2,076","2,045","2,022",,,,
    Сільське населення,"22,497","22,147","21,956",,,,
  Синельниківський район,"38,957","38,771","38,511",,,,
    Міське населення,"13,531","13,562","13,529",,,,
        смт Іларіонове,"8,992","9,022","9,005",,,,
        смт Роздори,"1,767","1,776","1,763",,,,
        смт Сад,477,480,479,,,,
        смт Славгород,"2,295","2,284","2,282",,,,
    Сільське населення,"25,426","25,209","24,982",,,,
  Солонянський район,"39,315","39,084","38,980",,,,
    Міське населення,"9,598","9,561","9,570",,,,
        смт Солоне,"7,665","7,641","7,675",,,,
        смт Новопокровка,"1,933","1,920","1,895",,,,
    Сільське населення,"29,717","29,523","29,410",,,,
  Софіївський район,"22,793","22,505","22,344",,,,
    Міське населення,"7,094","7,002","6,995",,,,
        смт Софіївка,"7,094","7,002","6,995",,,,
    Сільське населення,"15,699","15,503","15,349",,,,
  Томаківський район,"25,839","25,722","25,516",,,,
    Міське населення,"7,132","7,133","7,073",,,,
        смт Томаківка,"7,132","7,133","7,073",,,,
    Сільське населення,"18,707","18,589","18,443",,,,
  Царичанський район,"27,555","27,399","27,255",,,,
    Міське населення,"7,654","7,610","7,609",,,,
        смт Царичанка,"7,654","7,610","7,609",,,,
    Сільське населення,"19,901","19,789","19,646",,,,
  Широківський район,"27,706","27,594","27,460",,,,
    Міське населення,"10,439","10,412","10,370",,,,
        смт Широке,"10,436","10,412","10,368",,,,
        смт Миколаївка,3,-,2,,,,
    Сільське населення,"17,267","17,182","17,090",,,,
  Юр'ївський район,"13,694","13,545","13,422",,,,
    Міське населення,"2,302","2,260","2,239",,,,
        смт Юр'ївка,"2,302","2,260","2,239",,,,
    Сільське населення,"11,392","11,285","11,183",,,,
,,,,,,,
Донецька область,"4,375,442","4,343,882","4,297,250",,,,
 Міське населення,"3,964,156","3,937,732","3,895,623",,,,
 Сільське населення,"411,286","406,150","401,627",,,,
  Донецьк (міськрада),"969,297","965,828","952,139",,,,
    Міське населення,"967,720","964,262","950,579",,,,
        м. Донецьк,"953,217","949,825","936,257",,,,
        м. Моспине,"10,806","10,745","10,635",,,,
        смт Горбачево-Михайлівка,922,919,917,,,,
        смт Ларине,"2,775","2,773","2,770",,,,
    Сільське населення,"1,577","1,566","1,560",,,,
  м. Авдіївка,"35,128","35,090","34,728",,,,
